PRODUCT_COD,PRODUCT_NAME,PRODUCT_VAL,DEP_NAME,DEP_COD,SECTION_NAME,SECTION_COD
25,Bissulfato de Clopidogrel 75mg Genérico Teuto 30 Comprimidos,66.51,MEDICAMENTOS REFERÊNCIA,11,CIRCULAÇÃO,43
27,Somalgin Cardio 100mg EMS 60 Comprimidos Revestidos,32.35,MEDICAMENTOS REFERÊNCIA,11,CIRCULAÇÃO,43
28,Pasalix Pi 500mg Marjan Farma 20 Comprimidos Revestidos,38.81,MEDICAMENTOS REFERÊNCIA,11,CALMANTES E TRANQUILIZANTES,44
29,Valerimed 50mg Cimed 20 Comprimidos,9.99,MEDICAMENTOS REFERÊNCIA,11,CALMANTES E TRANQUILIZANTES,44
30,Calman Aspen Pharma 20 Drágeas,30.33,MEDICAMENTOS REFERÊNCIA,11,CALMANTES E TRANQUILIZANTES,44
31,Prolopa 200/50mg 30 comprimidos,91.01,MEDICAMENTOS REFERÊNCIA,11,CALMANTES E TRANQUILIZANTES,44
32,Nebilet 5mg Biolab Sanus 60 Comprimidos,149.03,MEDICAMENTOS REFERÊNCIA,11,PRESSÃO ALTA,45
33,Selozok 50mg AstraZeneca 60 comprimidos revestidos,110.54,MEDICAMENTOS REFERÊNCIA,11,PRESSÃO ALTA,45
34,Besilato de Anlodipino 5mg Genérico Cimed 30 Comprimidos,19.05,MEDICAMENTOS REFERÊNCIA,11,PRESSÃO ALTA,45
35,Hidroclorotiazida 25mg Genérico Cimed 30 Comprimidos,4.06,MEDICAMENTOS REFERÊNCIA,11,PRESSÃO ALTA,45
48,Limpador para Casa VEJA Concentrado Floral Campestre 500ml,4.89,MERCEARIA,6,LIMPEZA,12
68,Brusqueta de Pimentao LA PASTINA 280g,17.90,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
125,Adocante Liquido com Aspartame ZERO CAL 100ml,12.59,MERCEARIA,6,ALIMENTOS,1
147,"Bala de Frutas Sabor Uva e Morango NERDS WONKA 46,7g",5.09,PADARIA,7,DOCES-E-SOBREMESAS,8
172,Arroz Integral TIO JOAO Pacote 500g,2.99,MERCEARIA,6,ALIMENTOS,1
228,Licor COINTREAU Edicao Limitada Garrafa 700ml,74.90,BEBIDAS,2,BEBIDAS,4
241,Brusqueta de Aspargo LA PASTINA 280g,17.90,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
251,Geleia Francesa de Pera ST. DALFOUR Vidro 284g,19.50,MERCEARIA,6,MATINAIS,15
271,Cereal em Barra Castanha com Chocolate Zero Acucar TRIO 66g Caixa com 3 Unidades,4.89,MERCEARIA,6,BISCOITOS-E-SNACKS,5
275,Requeijao Cremoso CATUPIRY Copo 220g,4.58,PADARIA,7,QUEIJOS-E-FRIOS,22
300,Agua Mineral com Gas SAO LOURENCO Garrafa 510ml,2.09,BEBIDAS,2,BEBIDAS,4
310,Brusqueta de Alcachofra LA PASTINA 280g,17.90,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
311,Mocoto Bovino Resfriado Bandeja 500g,6.14,CARNES,3,BOVINOS,34
365,Chocolate Branco Laka LACTA 70g,4.59,PADARIA,7,DOCES-E-SOBREMESAS,8
374,Queijo Parmesao Faixa Azul VIGOR Pedaco 200g,15.98,MERCEARIA,6,MATINAIS,15
393,Bombom Recheado com Flocos e Chocolate Chokito NESTLE Caixa 96g com 3 Unidades,4.55,PADARIA,7,DOCES-E-SOBREMESAS,8
407,Achocolatado em Po Light Nescau NESTLE Lata 400g,9.59,BEBIDAS,2,BEBIDAS,4
462,Bombom Recheado com Amendoim Caramelizado Charge NESTLE 120g com 3 Unidades,4.55,PADARIA,7,DOCES-E-SOBREMESAS,8
469,Achocolatado em Po Nescau 2.0 NESTLE 200g,4.39,BEBIDAS,2,BEBIDAS,4
485,Limpador para Piso DESTAC Direto Madeira 750ml,7.09,MERCEARIA,6,LIMPEZA,12
501,Arroz Parboilizado TIO JOAO 1kg Pacote com 8 Saquinhos de 125g,5.99,MERCEARIA,6,ALIMENTOS,1
556,Cereal em Barra Banana com Chocolate Zero Acucar TRIO 66g com 3 Unidades,4.89,MERCEARIA,6,BISCOITOS-E-SNACKS,5
589,Cerveja ANTARCTICA Pilsen Lata 350ml,1.99,BEBIDAS,2,CERVEJAS,29
602,Conjunto com 3 Potes Hermeticos Quadrados ZIPLOC 900ml,14.90,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
614,Cerveja BOHEMIA Lata 350ml,2.39,BEBIDAS,2,CERVEJAS,29
626,Molho de Tomate Gorgonzola BARILLA Vidro 400g,9.90,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
707,Racao para Caes Adultos de Racas Medias e Grandes DOG CHOW 3kg,39.65,PET-SHOP,9,RACAO,23
729,Bombom Recheado Sabor Prestigio NESTLE Caixa 99g com 3 Unidades,4.79,PADARIA,7,DOCES-E-SOBREMESAS,8
868,Racao para Caes Adultos de Racas Pequenas DOG CHOW 3kg,39.65,PET-SHOP,9,RACAO,23
882,Cereal Matinal Sucrilhos Sabor Chocolate Hora K KELLOGGS Pacote 25g,1.15,MERCEARIA,6,MATINAIS,15
892,Refrigerante SUKITA Laranja Lata 350ml,1.59,BEBIDAS,2,BEBIDAS,4
900,Mistura para Bolo Cuca DR. OETKER Caixa 450g,7.79,PADARIA,7,DOCES-E-SOBREMESAS,8
970,Raiz Forte em Tubo WASABI 43g,14.90,MERCEARIA,6,ETNICOS,9
981,Molho de Tomate Napolitana BARILLA Vidro 400g,9.90,MERCEARIA,6,ALIMENTOS,1
995,Palito para Dentes FIAT LUX com 200 Unidades,1.85,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
1023,Racao para Caes Adultos com Mais de 7 Anos DOG CHOW 3 kg,45.90,PET-SHOP,9,RACAO,23
1102,Frango a Passarinho Resfriado Bandeja 1kg,7.62,CARNES,3,AVES,32
1111,Acai Natural FROOTY 500g,13.75,FRIOS,5,CONGELADOS,7
1171,Sabonete Liquido DERMACYD Infantil 200ml,18.90,BEBES,1,BEBES,3
1189,Azeite Portugues de Oliva Extra Virgem PORTUCALE Vidro 500ml,12.25,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
1207,Refrigerante SUKITA Uva Garrafa 2 Litros,3.89,BEBIDAS,2,BEBIDAS,4
1215,Massa para Lasanha MEZZANI 500g,5.39,MERCEARIA,6,MASSAS,14
1223,Sabao em Po ACE Naturals Maciez Lavanda e Orquidea Pacote 1kg,5.99,MERCEARIA,6,LIMPEZA,12
1268,Preservativo Anatomico de Bolso JONTEX com 3 Unidades,5.20,PERFUMARIA,8,PERFUMARIA,20
1332,Escova para Lavar Oval CONDOR,3.99,MERCEARIA,6,LIMPEZA,12
1362,Tintura Creme Mel Dourado 8.3 Imedia L´OREAL,23.19,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
1399,Biscoito NESTLE Integral Centeio Pacote 160g,2.39,MERCEARIA,6,BISCOITOS-E-SNACKS,5
1450,Caldo de Carne KNORR 57g com 6 Cubos,1.25,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
1481,Palito para Dentes FIAT LUX com 100 Unidades,0.99,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
1501,Vinho Brasileiro Branco Riesling MARCUS JAMES Garrafa 375ml,10.90,BEBIDAS,2,VINHOS,30
1540,Refrigerante SUKITA Uva Lata 350ml,1.59,BEBIDAS,2,BEBIDAS,4
1586,Salgadinho Torrado de Arroz com Alga Marinha OKAKI 100g,12.50,MERCEARIA,6,BISCOITOS-E-SNACKS,5
1671,Amendoim Japones YOKI Pacote 500g,8.49,MERCEARIA,6,BISCOITOS-E-SNACKS,5
1705,Odorizador de Ambientes BOM AR Air Wick Lavanda Refil 12ml Gratis Aparelho,6.59,MERCEARIA,6,LIMPEZA,12
1836,Biscoito NESTLE Integral Gergelim Pacote 170g,2.39,MERCEARIA,6,BISCOITOS-E-SNACKS,5
1838,Sabonete Liquido Glicerinado GRANADO 200ml,13.75,PERFUMARIA,8,PERFUMARIA,20
1839,Requeijao Cremoso Fibras Light CATUPIRY 220g,4.58,MERCEARIA,6,MATINAIS,15
1850,Condicionador Infantil JOHNSONS Baby 200ml,10.25,BEBES,1,BEBES,3
1939,Rolinhos Crocantes deTortilha Sabor Queijo ROC E ROLLS Pacote 125g,15.99,PADARIA,7,DOCES-E-SOBREMESAS,8
1944,Pao de Forma PULLMAN 500g,4.29,PADARIA,7,PADARIA,19
1979,Licor Austriaco de Chocolate Cremoso MOZART GOLD Garrafa 500ml,109.99,BEBIDAS,2,BEBIDAS,4
1981,Alvejante Floral SUPER CANDIDA 1 Litro,3.15,MERCEARIA,6,LIMPEZA,12
2047,Repolho Roxo Unidade,5.12,PERFUMARIA,8,PERFUMARIA,20
2118,Caldo de Galinha KNORR 57g com 6 Cubos,1.25,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
2120,Refrigerante COCA COLA Lata 350ml com 6 Unidades,11.34,BEBIDAS,2,BEBIDAS,4
2132,Asa de Frango Resfriada Bandeja 1kg,8.47,CARNES,3,AVES,32
2152,Querosene VIMAK 500ml,13.90,MERCEARIA,6,LIMPEZA,12
2159,Pimenta do Reino Branca em Graos CIA DAS ERVAS 24g,13.25,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
2218,Fuba Pre Cozido YOKI Pacote 500g,2.79,MERCEARIA,6,ALIMENTOS,1
2265,Rolinhos Crocantes de Tortilha Picante ROC & ROLLS 125g,15.99,PADARIA,7,DOCES-E-SOBREMESAS,8
2274,Geleia Francesa Cramberry e Mirtilo ST.DALFOUR Vidro 284g,19.50,MERCEARIA,6,MATINAIS,15
2282,Refrigerante SCHWEPPES Citrus Lata 350ml,2.79,BEBIDAS,2,BEBIDAS,4
2285,Queijo Brie POLENGHI Selection Pedaco 200g,11.98,MERCEARIA,6,MATINAIS,15
2351,Tintura Creme Marrom 6.41 Imedia L´OREAL,23.19,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
2365,Pastilha Laka Confeti LACTA Pacote 80g,5.29,PADARIA,7,DOCES-E-SOBREMESAS,8
2376,Cereal em Barra Proteina Sabor Chocolate TRIO 99g Caixa com 3 Unidades,8.19,MERCEARIA,6,BISCOITOS-E-SNACKS,5
2468,Drops de Melancia HALLS 102g Pacote com 3 Unidades,4.49,PADARIA,7,DOCES-E-SOBREMESAS,8
2484,Esponja Limpa Banheiro SCOTCH BRITE com 2 Unidades,6.65,MERCEARIA,6,LIMPEZA,12
2591,Salgadinho Stickletti CHIO 125g,8.69,MERCEARIA,6,NATURAIS-E-FUNCIONAIS,17
2612,Pate de Atum Tradicional GOMES DA COSTA 150g,8.95,PADARIA,7,QUEIJOS-E-FRIOS,22
2623,Geleia Francesa de Laranja Kinkan ST.DALFOUR Vidro 284g,19.50,MERCEARIA,6,MATINAIS,15
2624,Tempero AJINOMOTO Refil 200g,9.65,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
2649,Chocolate ao Leite Branco Lind Sing Suico LINDT 100g,17.90,PADARIA,7,DOCES-E-SOBREMESAS,8
2706,Folhado de Frango FORNO DE MINAS 240g,7.29,PERFUMARIA,8,PERFUMARIA,20
2743,Cereal em Barra Proteina Sabor Banana TRIO 99g Caixa com 3 Unidades,8.19,MERCEARIA,6,BISCOITOS-E-SNACKS,5
2772,Torrada sem Acucar Light BAUDUCCO 160g,2.85,PADARIA,7,PADARIA,19
2790,Massa para Pastel Discao MEZZANI 500g,4.89,MERCEARIA,6,MASSAS,14
2807,Sabao em Po ACE Naturals Perfume de Erva Doce e Camomila Pacote 1kg,5.99,MERCEARIA,6,LIMPEZA,12
2853,Repolho Verde Unidade,4.85,FLV,4,FEIRA,10
2855,Refrigerante KUAT Guarana Garrafa 600ml,2.69,BEBIDAS,2,BEBIDAS,4
2933,Pure de Batata YOKI Pacote 180g,6.49,MERCEARIA,6,ALIMENTOS,1
2947,Vinho do Porto Valdouro Ruby Garrafa 750ml,72.90,BEBIDAS,2,VINHOS,30
2982,Amendoim MENDORATO Pacote 500g,7.95,MERCEARIA,6,BISCOITOS-E-SNACKS,5
2986,Lombo Suino Inteiro Resfriado Bandeja 1kg,23.31,CARNES,3,SUINOS,33
3023,Torrada Magic Toast Tradicional MARILAN Pacote 150g,3.19,PADARIA,7,PADARIA,19
3076,Aromatizante de Ambientes COALA Oleo de Lavanda Frasco 140ml,11.50,MERCEARIA,6,LIMPEZA,12
3122,Espumadeira LAGUNA Unidade,34.90,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
3155,Alimento Nutritivo Sabor Banana SUSTAGEN Lata 400g,44.89,BEBES,1,BEBES,3
3235,Presunto de Frango com Azeitona Fatiado CERATTI 100g,10.76,MERCEARIA,6,MATINAIS,15
3236,Doce de Coco Branco SOCOCO Pote 335g,7.09,PADARIA,7,DOCES-E-SOBREMESAS,8
3239,Risoto a Valligiana Cozinha & Sabor TIO JOAO 175g,5.99,MERCEARIA,6,ALIMENTOS,1
3244,Nhoque com Recheio de Requeijao MASSA LEVE 400g,7.75,MERCEARIA,6,MASSAS,14
3367,Cerveja ANTARCTICA Sub Zero Lata 350ml,1.69,BEBIDAS,2,CERVEJAS,29
3394,Chocolate ao Leite com Castanha do Para Talento GAROTO Tablete 100g,3.99,PADARIA,7,DOCES-E-SOBREMESAS,8
3423,Cafe Soluvel Tradicional MELITTA Sache 50g,3.39,BEBIDAS,2,BEBIDAS,4
3426,"Contra File para Churrasco em Peca Bandeja 1,5kg",60.40,CARNES,3,CARNES,6
3577,Vinho Argentino Tinto Malbec BENJAMIN NIETO Garrafa 375ml,18.19,BEBIDAS,2,VINHOS,30
3724,Po para Chantilly Sabor Chocolate Chanti neve Dr. OETKER Caixa 50g,5.35,PADARIA,7,DOCES-E-SOBREMESAS,8
3771,Bisnaguinha Egg Sponge PANCO 250g,6.59,PADARIA,7,PADARIA,19
3775,Sorvete de Baunilha com Macadamia HAAGEN DAZS Pote 473ml,25.90,FRIOS,5,SORVETES,36
3790,Mistura para Bolo de Caneca Sabor Tapioca Dr. OETKER 40g,2.75,PADARIA,7,DOCES-E-SOBREMESAS,8
3808,Sorvete Cheesecake HAAGEN DAZS Pote 473ml,25.90,FRIOS,5,SORVETES,36
3839,Azeite Chileno de Oliva Extra Virgem Organico NATIVE Vidro 250ml,23.75,MERCEARIA,6,ALIMENTOS,1
3848,Cappuccino Classic 3 CORACOES 200g Caixa com 10 Saches,7.65,MERCEARIA,6,MATINAIS,15
3893,Suco Concentrado MAGUARY de Manga Garrafa 500ml,5.79,BEBIDAS,2,BEBIDAS,4
3923,Sal Moido Iodado MAIS VITA Pacote 1kg,2.99,MERCEARIA,6,ALIMENTOS,1
4011,Concha para Feijao LAGUNA Unidade,39.90,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
4028,Nuggets de Frango Tradicional SADIA 300g,7.49,FRIOS,5,CONGELADOS,7
4030,"Mistura para Bolo de Caneca Integral Sabor Banana, Aveia e Mel Dr. OETKER 65g",3.15,PADARIA,7,DOCES-E-SOBREMESAS,8
4051,"Picanha do Avesso Especial Bandeja 1,5kg",98.56,CARNES,3,CARNES,6
4086,Escova Dental Macia JOHNSONS Nº 40,9.29,PERFUMARIA,8,HIGIENE BUCAL,39
4107,Acucar Mascavo MAIS VITA Pacote 1kg,14.69,MERCEARIA,6,ALIMENTOS,1
4128,Odorizador de Ambientes GLADE Auto Sport Attraction Refil 7ml,10.90,MERCEARIA,6,LIMPEZA,12
4158,Pimenta do Reino em Po Branca CIA DAS ERVAS 24g,9.45,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
4210,Bife palha de lagarto bovino resfriado Bandeja 500g,16.95,CARNES,3,BOVINOS,34
4435,Arroz Integral Uncle Bens MASTERFOODS 1kg Pacote com 8 Saquinhos de 125g,8.99,MERCEARIA,6,ALIMENTOS,1
4446,Oleo de Milho LIZA Pet 900ml,5.39,MERCEARIA,6,ALIMENTOS,1
4528,Doce de Goiaba em Calda Diet HOUSE Vidro 250g,9.99,PADARIA,7,DOCES-E-SOBREMESAS,8
4647,Sopao de Legumes com Macarrao MAGGI Pacote 200g,4.65,MERCEARIA,6,ALIMENTOS,1
4662,Queijo Boursin com Damasco e Castanha de Caju PRATO PRONTO 140g,8.93,MERCEARIA,6,MATINAIS,15
4708,Pote com Tampa Retangular Decora PLASUTIL 3 Litros,14.90,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
4726,Mini Croissant DULCA 160g,9.90,PADARIA,7,PADARIA,19
4744,Pote com Tampa Retangular com 3 Divisoes Decora PLASUTIL 1 Litro,12.90,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
4762,Cappuccino Diet 3 CORACOES Pote 150g,9.45,MERCEARIA,6,MATINAIS,15
4772,Zaatar Libanes com Gergelim e Summac ZEENNY 125g,15.75,MERCEARIA,6,ETNICOS,9
4780,Suco Concentrado de Tomate Temperado SUPERBOM Garrafa 500ml,9.59,BEBIDAS,2,BEBIDAS,4
4784,Esponja Inox SCOTCH BRITE,4.75,MERCEARIA,6,LIMPEZA,12
4816,Presunto de Frango com Tomate Seco Fatiado CERATTI 150g,7.34,MERCEARIA,6,MATINAIS,15
4854,Fralda TURMA DA MONICA Pequena Pacote com 36 Unidades,30.49,BEBES,1,FRALDA,26
4870,Caldo Italiano de Galinha PASTAROTTI 64g com 6 Cubos,8.75,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
4950,Chocolate ao Leite Extra Cremoso HERSHEY´S Tablete 130g,3.79,PADARIA,7,DOCES-E-SOBREMESAS,8
4958,"Assadeira Quadrada Pequena Marinex SANTA MARINA 1,1 Litros",22.90,MERCEARIA,6,ARTIGOS-PARA-O-LAR,2
4983,Alimento Nutritivo Sabor Baunilha SUSTAGEN Lata 400g,44.89,BEBES,1,BEBES,3
5065,Alface Americana MIL GREEN 350g,14.19,FLV,4,FEIRA,10
5091,Vinho Chileno Tinto Carbenet Sauvignon SANTA CAROLINA Reservado Garrafa 750ml,22.90,BEBIDAS,2,VINHOS,30
5102,Limpador para Vidros VEJA Vidrex Bio Alcool 500ml,4.49,MERCEARIA,6,LIMPEZA,12
5148,Oleo de Girassol SALADA Pet 900ml,4.99,MERCEARIA,6,ALIMENTOS,1
5210,Suco Concentrado de Tomate Integral SUPERBOM Garrafa 500ml,9.59,BEBIDAS,2,BEBIDAS,4
5218,Caldo de Legumes KNORR 57g com 6 Cubos,1.25,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
5246,Cobertura de Chocolate com Menta INGREDIENT 240g,9.25,PADARIA,7,DOCES-E-SOBREMESAS,8
5273,Chucrute HEMMER Vidro 450g,8.49,MERCEARIA,6,ALIMENTOS,1
5299,Agua Mineral com Gas MINALBA Garrafa 510ml,2.19,BEBIDAS,2,BEBIDAS,4
5358,Mortadela sem Toucinho Fatiada CERATTI Bandeja 200g,7.20,MERCEARIA,6,MATINAIS,15
5359,Vinho Chileno Branco SANTA CAROLINA Garrafa 750ml,22.90,BEBIDAS,2,VINHOS,30
5361,Amaciante Concentrado COMFORT Original 500ml,4.99,MERCEARIA,6,LIMPEZA,12
5446,"Biscoito JASMINE Rosquinha Integral Light Laranja, Cenoura e Mel Pacote 150g",3.99,MERCEARIA,6,ETNICOS,9
5448,Anil COLMAN Liquido 200ml,11.75,MERCEARIA,6,LIMPEZA,12
5462,Papinha Infantil de Frutas Tropicais NESTLE Pote 120g,3.19,BEBES,1,BEBES,3
5474,Oleo de Milho SALADA Pet 900ml,4.99,MERCEARIA,6,ALIMENTOS,1
5513,Cha Misto Flores e Frutas de Maca com Canela Dr. OETKER 30g com 15 Saquinhos,9.65,MERCEARIA,6,MATINAIS,15
5518,Vinho Chileno Tinto CONCHA Y TORO Gran Reserva Carmenere Garrafa 750ml,69.90,BEBIDAS,2,VINHOS,30
5524,Oregano CHINATOWN Pacote 20g,3.65,FLV,4,FEIRA,10
5564,Torrone MONTEVERGINE 90g,2.55,PADARIA,7,PADARIA,19
5628,Preservativo Lubrificado OLLA com 6 Unidades,6.90,PERFUMARIA,8,PERFUMARIA,20
5655,Cookie Integral de Limao JASMINE Pacote 200g,4.39,MERCEARIA,6,BISCOITOS-E-SNACKS,5
5663,File de Sardinha sem Pele com Pimenta GOMES DA COSTA 130g,6.90,MERCEARIA,6,ALIMENTOS,1
5672,Vinho Chileno Tinto CONCHA Y TORO Gran Reserva Cabernet Sauvignon Garrafa 750ml,69.90,BEBIDAS,2,VINHOS,30
5681,Refrigerante ANTARCTICA Soda Limonada Garrafa 237ml,0.99,BEBIDAS,2,BEBIDAS,4
5728,"Agua Mineral com Gas MINALBA Garrafa 1,5 Litros",2.85,BEBIDAS,2,BEBIDAS,4
5761,Papinha Infantil de Mamao e Laranja NESTLE Pote 120g,3.19,BEBES,1,BEBES,3
5863,Pimenta do Reino Preta em Grao CIA DAS ERVAS Tubo 21g,13.50,MERCEARIA,6,ALIMENTOS,1
5902,Creme de Pentear SEDA Ceramidas 300ml,6.49,PERFUMARIA,8,PERFUMARIA,20
5966,Queijo Suico TETE DE MOINE 420g,121.99,PADARIA,7,QUEIJOS-E-FRIOS,22
5984,Sabonete Hidratante NIVEA Aveia 90g,1.25,PERFUMARIA,8,PERFUMARIA,20
6019,Ricota Fresca QUATA 400g,7.33,PADARIA,7,QUEIJOS-E-FRIOS,22
6039,Sobremesa Lactea Cremosa com Chocolate Creamy BATAVO 200g,2.49,CARNES,3,CARNES,6
6046,File de Sardinha em Oleo Comestivel GOMES DA COSTA 85g,6.90,MERCEARIA,6,ALIMENTOS,1
6054,Refrigerante PEPSI Garrafa 237ml,0.99,BEBIDAS,2,BEBIDAS,4
6068,Queijo Provolone Defumado Peca QUATA 420g,22.03,MERCEARIA,6,MATINAIS,15
6099,Sabonete Hidratante NIVEA Proteinas do Leite 90g,1.25,PERFUMARIA,8,PERFUMARIA,20
6109,Inseticida Eletrico SBP 12 Horas em Pastilhas Refil Leve12 Pague 10 Unidades,2.89,MERCEARIA,6,LIMPEZA,12
6121,Pao Italiano Filao Pre-Assado FRANCIULLI 400g,7.90,PADARIA,7,PADARIA,19
6141,Inseticida Liquido BAYGON Acao Total 500ml,15.75,MERCEARIA,6,LIMPEZA,12
6167,Locao Repelente de Insetos OFF Cosmetic 177ml,24.90,PERFUMARIA,8,PERFUMARIA,20
6194,Lixeira Importada de Aco Inox com Pedal 20 Litros,129.90,MERCEARIA,6,LIMPEZA,12
6208,Suco Concentrado MAGUARY de Laranja Garrafa 500ml,5.79,BEBIDAS,2,BEBIDAS,4
6347,Queijo Suico Emmental EMMI  200g ,60.90,MERCEARIA,6,MATINAIS,15
6368,Licor Italiano de Limao VILLA MASSA Garrafa 700ml,104.99,BEBIDAS,2,BEBIDAS,4
6430,Molho Shoyu Tradicional SAKURA 150ml,1.99,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
6454,Salsichao com Picles Fatiado CERETTI Bandeja 150g,6.60,MERCEARIA,6,MATINAIS,15
6455,Saleiro Cozinha CISNE 100g,2.95,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
6476,Escova Dental Infantil Macia Reach Essencial Junior JOHNSONS,3.45,BEBES,1,BEBES,3
6486,Azeitona Preta com Caroco RAIOLITA Vidro 200g,8.45,MERCEARIA,6,ALIMENTOS,1
6488,Queijo Italiano Grana Padano SORESINA 200g,19.75,MERCEARIA,6,MATINAIS,15
6498,Donuts de Doce de Leite MELHOR BOCADO 280g,13.25,FRIOS,5,CONGELADOS,7
6559,Saco para Lixo Super Forte DOVER ROLL 50 Litros com 30 Unidades,32.75,MERCEARIA,6,LIMPEZA,12
6561,Molho para Salada Mostarda MASTERFOODS 234ml,4.79,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
6568,Lixeira Importada e Aco Inox com Pedal 12 Litros,84.90,MERCEARIA,6,LIMPEZA,12
6587,Azeite de Oliva Extra Virgem Frutado BORGES Vidro 500ml,17.90,MERCEARIA,6,ALIMENTOS,1
6609,Sobrecoxa de Frango Resfriado Bandeja 1kg,9.53,CARNES,3,AVES,32
6630,Cha Preto LEAO 16g com 10 Saquinhos,2.59,BEBIDAS,2,BEBIDAS,4
6689,Saco para Lixo de Banheiro EMBALIXO com 50 Unidades,6.09,MERCEARIA,6,LIMPEZA,12
6699,Licor de Creme de Cassis STOCK Garrafa 720ml,31.90,BEBIDAS,2,BEBIDAS,4
6704,"Melao Orange 1,5kg",9.90,FLV,4,FEIRA,10
6710,Esfiha de Frango Caipira Coquetel LIBAN Foods 350g,21.90,FRIOS,5,CONGELADOS,7
6726,Saco para Lixo Super Forte DOVER ROLL 100 Litros com 15 Unidades,32.75,MERCEARIA,6,LIMPEZA,12
6902,Queijo Italiano Parmegiano Reggiano GRAN SORESINA 125g,23.25,MERCEARIA,6,MATINAIS,15
6947,Molho Ingles KITANO Vidro 150ml,2.99,MERCEARIA,6,MOLHOS-E-CONDIMENTOS,16
6953,Saco para Lixo Super Forte DOVER ROLL 15 Litros com 60 Unidades,22.75,MERCEARIA,6,LIMPEZA,12
6971,Manteiga com Sal AVIACAO Pote 200g,5.29,FLV,4,FEIRA,10
7029,Salsichao com Azeitona Fatiado CERATTI Bandeja 200g,8.46,MERCEARIA,6,MATINAIS,15
7049,Azeite de Oliva Extra Virgem Picual BORGES Vidro 500ml,17.90,MERCEARIA,6,ALIMENTOS,1
7076,Saco para Lixo Super Forte DOVER ROLL 30 Litros com 30 unidades,22.75,MERCEARIA,6,LIMPEZA,12
